n	p	alpha	c_palpha
6	0.01	0.005	14.73059966
6	0.05	0.005	9.75340712
6	0.1	0.005	7.602618124
6	0.2	0.005	5.446725978
6	0.3	0.005	4.183086941
6	0.4	0.005	3.279894408
6	0.5	0.005	2.582553992
6	0.6	0.005	2.029939409
6	0.7	0.005	1.5842849
6	0.8	0.005	1.225300286
6	0.9	0.005	0.951244289
6	0.95	0.005	0.854563739
6	0.99	0.005	0.832240305
8	0.01	0.005	9.809608335
8	0.05	0.005	6.554907327
8	0.1	0.005	5.149823408
8	0.2	0.005	3.736668494
8	0.3	0.005	2.906796469
8	0.4	0.005	2.320800835
8	0.5	0.005	1.867381161
8	0.6	0.005	1.504703227
8	0.7	0.005	1.211762702
8	0.8	0.005	0.97893838
8	0.9	0.005	0.803800529
8	0.95	0.005	0.747366774
8	0.99	0.005	0.753462238
10	0.01	0.005	7.505967021
10	0.05	0.005	5.04420648
10	0.1	0.005	3.982668694
10	0.2	0.005	2.915366526
10	0.3	0.005	2.290854749
10	0.4	0.005	1.847141967
10	0.5	0.005	1.505884267
10	0.6	0.005	1.232669613
10	0.7	0.005	1.01410617
10	0.8	0.005	0.840167135
10	0.9	0.005	0.713044305
10	0.95	0.005	0.67671199
10	0.99	0.005	0.696790852
12	0.01	0.005	6.207966632
12	0.05	0.005	4.189240658
12	0.1	0.005	3.317193166
12	0.2	0.005	2.442573463
12	0.3	0.005	1.931080269
12	0.4	0.005	1.56802936
12	0.5	0.005	1.289197523
12	0.6	0.005	1.068617198
12	0.7	0.005	0.890602542
12	0.8	0.005	0.749835669
12	0.9	0.005	0.649435263
12	0.95	0.005	0.625084943
12	0.99	0.005	0.653480922
15	0.01	0.005	4.998366263
15	0.05	0.005	3.388015097
15	0.1	0.005	2.691739822
15	0.2	0.005	1.99854036
15	0.3	0.005	1.591375623
15	0.4	0.005	1.303792267
15	0.5	0.005	1.082117466
15	0.6	0.005	0.906001326
15	0.7	0.005	0.765185209
15	0.8	0.005	0.655716737
15	0.9	0.005	0.58234759
15	0.95	0.005	0.567723663
15	0.99	0.005	0.602336726
20	0.01	0.005	3.8839111
20	0.05	0.005	2.642884549
20	0.1	0.005	2.109094112
20	0.2	0.005	1.576135864
20	0.3	0.005	1.264896592
20	0.4	0.005	1.043544377
20	0.5	0.005	0.875481889
20	0.6	0.005	0.743401823
20	0.7	0.005	0.638708953
20	0.8	0.005	0.55816425
20	0.9	0.005	0.508126493
20	0.95	0.005	0.503351615
20	0.99	0.005	0.542819531
25	0.01	0.005	3.253603375
25	0.05	0.005	2.220104797
25	0.1	0.005	1.77689083
25	0.2	0.005	1.33264165
25	0.3	0.005	1.074775415
25	0.4	0.005	0.892058857
25	0.5	0.005	0.75253388
25	0.6	0.005	0.644113244
25	0.7	0.005	0.558596267
25	0.8	0.005	0.495335572
25	0.9	0.005	0.457921394
25	0.95	0.005	0.458286084
25	0.99	0.005	0.498498631
30	0.01	0.005	2.826076297
30	0.05	0.005	1.933133586
30	0.1	0.005	1.550032546
30	0.2	0.005	1.167729332
30	0.3	0.005	0.945058234
30	0.4	0.005	0.787273348
30	0.5	0.005	0.668485396
30	0.6	0.005	0.575985017
30	0.7	0.005	0.50371523
30	0.8	0.005	0.450388676
30	0.9	0.005	0.421755691
30	0.95	0.005	0.425057083
30	0.99	0.005	0.464853972
35	0.01	0.005	2.527514817
35	0.05	0.005	1.733412928
35	0.1	0.005	1.391195581
35	0.2	0.005	1.050859651
35	0.3	0.005	0.852547536
35	0.4	0.005	0.713085441
35	0.5	0.005	0.606971296
35	0.6	0.005	0.524347423
35	0.7	0.005	0.461007537
35	0.8	0.005	0.414979238
35	0.9	0.005	0.392499
35	0.95	0.005	0.397766531
35	0.99	0.005	0.438516204
40	0.01	0.005	2.298708967
40	0.05	0.005	1.576442248
40	0.1	0.005	1.267919973
40	0.2	0.005	0.959221232
40	0.3	0.005	0.780686549
40	0.4	0.005	0.654199321
40	0.5	0.005	0.558668406
40	0.6	0.005	0.485321668
40	0.7	0.005	0.428521009
40	0.8	0.005	0.388324424
40	0.9	0.005	0.369406108
40	0.95	0.005	0.375578753
40	0.99	0.005	0.416059799
45	0.01	0.005	2.121444979
45	0.05	0.005	1.457277214
45	0.1	0.005	1.172919762
45	0.2	0.005	0.889498641
45	0.3	0.005	0.724413969
45	0.4	0.005	0.608392861
45	0.5	0.005	0.52133285
45	0.6	0.005	0.453724729
45	0.7	0.005	0.401881814
45	0.8	0.005	0.365706455
45	0.9	0.005	0.349801705
45	0.95	0.005	0.357034081
45	0.99	0.005	0.396669283
50	0.01	0.005	1.975190596
50	0.05	0.005	1.358548683
50	0.1	0.005	1.09420077
50	0.2	0.005	0.83006319
50	0.3	0.005	0.677052223
50	0.4	0.005	0.569737871
50	0.5	0.005	0.489292044
50	0.6	0.005	0.427119438
50	0.7	0.005	0.379438142
50	0.8	0.005	0.346978414
50	0.9	0.005	0.333664937
50	0.95	0.005	0.342126187
50	0.99	0.005	0.381074315
60	0.01	0.005	1.750829099
60	0.05	0.005	1.205455789
60	0.1	0.005	0.972140086
60	0.2	0.005	0.740284101
60	0.3	0.005	0.605398551
60	0.4	0.005	0.510646388
60	0.5	0.005	0.439731147
60	0.6	0.005	0.385208656
60	0.7	0.005	0.344350885
60	0.8	0.005	0.316601638
60	0.9	0.005	0.306904233
60	0.95	0.005	0.315760919
60	0.99	0.005	0.353351702
70	0.01	0.005	1.585261156
70	0.05	0.005	1.092417955
70	0.1	0.005	0.882081622
70	0.2	0.005	0.672357008
70	0.3	0.005	0.550897566
70	0.4	0.005	0.466115119
70	0.5	0.005	0.402383619
70	0.6	0.005	0.353246739
70	0.7	0.005	0.317061896
70	0.8	0.005	0.292967813
70	0.9	0.005	0.285840288
70	0.95	0.005	0.295585252
70	0.99	0.005	0.331925419
80	0.01	0.005	1.45566522
80	0.05	0.005	1.005301562
80	0.1	0.005	0.812713779
80	0.2	0.005	0.62084859
80	0.3	0.005	0.509665484
80	0.4	0.005	0.431880839
80	0.5	0.005	0.373823611
80	0.6	0.005	0.329376038
80	0.7	0.005	0.296653569
80	0.8	0.005	0.275030834
80	0.9	0.005	0.269528937
80	0.95	0.005	0.279280001
80	0.99	0.005	0.314295973
90	0.01	0.005	1.355330196
90	0.05	0.005	0.935470841
90	0.1	0.005	0.756349939
90	0.2	0.005	0.578213921
90	0.3	0.005	0.474948162
90	0.4	0.005	0.403216573
90	0.5	0.005	0.349994678
90	0.6	0.005	0.30899999
90	0.7	0.005	0.278804621
90	0.8	0.005	0.259552332
90	0.9	0.005	0.255265185
90	0.95	0.005	0.264727664
90	0.99	0.005	0.298875493
100	0.01	0.005	1.267006129
100	0.05	0.005	0.875854354
100	0.1	0.005	0.708739666
100	0.2	0.005	0.541887695
100	0.3	0.005	0.445704312
100	0.4	0.005	0.378932785
100	0.5	0.005	0.32916855
100	0.6	0.005	0.291288791
100	0.7	0.005	0.263658798
100	0.8	0.005	0.246315554
100	0.9	0.005	0.242926998
100	0.95	0.005	0.252596379
100	0.99	0.005	0.285856383
6	0.01	0.01	11.99755682
6	0.05	0.01	7.960485303
6	0.1	0.01	6.225720206
6	0.2	0.01	4.470160959
6	0.3	0.01	3.434662277
6	0.4	0.01	2.70360855
6	0.5	0.01	2.143128527
6	0.6	0.01	1.695343176
6	0.7	0.01	1.335784707
6	0.8	0.01	1.049897475
6	0.9	0.01	0.83408709
6	0.95	0.01	0.761952073
6	0.99	0.01	0.758082541
8	0.01	0.01	8.216085926
8	0.05	0.01	5.496589828
8	0.1	0.01	4.327378937
8	0.2	0.01	3.148113761
8	0.3	0.01	2.456154699
8	0.4	0.01	1.964593511
8	0.5	0.01	1.586634385
8	0.6	0.01	1.287537905
8	0.7	0.01	1.045301498
8	0.8	0.01	0.853556173
8	0.9	0.01	0.713509381
8	0.95	0.01	0.671274638
8	0.99	0.01	0.688168031
10	0.01	0.01	6.382095051
10	0.05	0.01	4.293921777
10	0.1	0.01	3.394588865
10	0.2	0.01	2.492618028
10	0.3	0.01	1.9612167
10	0.4	0.01	1.584636295
10	0.5	0.01	1.296362075
10	0.6	0.01	1.067909759
10	0.7	0.01	0.883631206
10	0.8	0.01	0.739149538
10	0.9	0.01	0.63647614
10	0.95	0.01	0.610578977
10	0.99	0.01	0.636695787
12	0.01	0.01	5.328452988
12	0.05	0.01	3.596358521
12	0.1	0.01	2.85198042
12	0.2	0.01	2.10517199
12	0.3	0.01	1.667166412
12	0.4	0.01	1.356912118
12	0.5	0.01	1.119459328
12	0.6	0.01	0.93087802
12	0.7	0.01	0.780610546
12	0.8	0.01	0.663024853
12	0.9	0.01	0.581808997
12	0.95	0.01	0.565472193
12	0.99	0.01	0.597390329
15	0.01	0.01	4.331741256
15	0.05	0.01	2.9343842
15	0.1	0.01	2.335774491
15	0.2	0.01	1.735642755
15	0.3	0.01	1.384906762
15	0.4	0.01	1.135718159
15	0.5	0.01	0.945513452
15	0.6	0.01	0.795084472
15	0.7	0.01	0.675231242
15	0.8	0.01	0.583372505
15	0.9	0.01	0.523224542
15	0.95	0.01	0.514502607
15	0.99	0.01	0.550782763
20	0.01	0.01	3.399142687
